if anyone can please send rss to thea she needs for healing ty	8
minta sumber daya dong	8
beli pake gold bro di alfamart banyak.. 😩😩	8
i need green resources and money one million each	8
Replace with gold capo as you get them	8
resource selalu kurang  bro, untuk membangun villa ke level 23 bro	8
Bom domingo à todos	8
need more resource 😀	8
Correction alcohol. Little to no money	8
disini murah bro, 1 atau 2 dollar sudah bisa dapat 2 atau 3 bungkus rokok bro	8
mua 250 vàng 2 ngày	8
Ae có rl ko t rl cho 740k	8
i need cash and bombs	8
from the black market	8
200k	8
buy extra supply crate for cash or ammo whenever you see 8n the black market store and save them up	8
where can i attack i need to loot alcohol?	8
jika mau dengan sekejap mata saya bisa, tapi saya sayang uang	8
Ăn để lại 1 vkl	8
mau 2jt bro	8
is it\'s possible for anyone to share his game money 💰 with me actually i need some money	8
Well awe agree deal! You work for me, every month I give you $50 for collecting resources lol?	8
by the way. any you guys need resources ? i accident cashed lots in. happy to help supply. let me know what you need of and i sort something	8
for harley i have 5 more	8
Xe t có 60k	8
saya tukar dengan berlian	8
i need a ton of rss for villa 22	8
need rss for villa 18	8
a đã có nhắn mail nói dọn clan YKZ rồi mà. thấy cứ bem lấy rss đi đừng ngại nữa	8
25600đ 1 lít. đang rẻ tranh thủ đầy bình đi	8
anyone can donate some  gems ? villa 23 i want to build	8
i have 40x500 and  300x100 gasoline	8
kamu belum mengirimkan aku sumber daya beb	8
I need money	8
ada gudang aliansi kamu hanya tinggal kirimkan sumber daya kamu ke sana	8
só tenho 6,566 de ouro	8
I need 1.2million in alcohol please	8
idk, maybe, ill prob buy some gold soon	8
Come get your diamonds guys	8
all my rss	8
7 mil ammo 1.5 diamonds	8
how much that price?	8
Free resources for your newer acct	8
Mỗi thag 15k thôi	8
yeah yeah I need 42,000 gold, hahaha	8
:((	8
Ông nào mua của hàng liên minh bên dưới ấy	8
I need money for this game 😙😙😥	8
Anyone need resorcies	8
∞ rss	8
Where can I get alcohol?	8
duke u have some alcohol	8
need  Rss 😳	8
1m lính không lo	8
Chắc p gom mỗi loại 5-60m	8
sure	8
Mua thêm exp tướng	8
470k lính nhé ae	8
wow sumber daya nya	8
25 for biker and rest 17	8
mua xăng ở tiệm cầm đồ	8
pack of resources	8
Đắt vcl	8
mua shop vip	8
i need resources as well	8
only buy with gold or buy privilase giftpack for fast to get it	8
Giúp tôi một ít tài nguyên được không	8
Mà cái buôn lậu ở đâu sao tìm k đc	8
Nhà này 64k	8
yeah 600000 for our third	8
bagi sedikit uangmu 😣	8
ăn ko hết a e quay lại ăn nốt cũng dc mà	8
Do you have enough alliance coin to buy?! I can put them out but you might not have enough to buy	8
Post where resourse are better please	8
I\'m running out of resources	8
Dm 1 lần 50k	8
kamu bisa bagi resource seperti uang, amunisi, minuman keras dan berlian	8
300k only boss...pls don\'t zero me😐	8
WhiteLotus needs some rss, if u guys have some, pls send, THANKYOUU !! i appreciate that	8
For buying many speed up items	8
and other resources that i can.	8
Comprei escudo 24 horas também	8
Pawn shop has 24 for 1k gold.	8
geus beres z, aman resource mah	8
Đang xem ku này có rss k. Bọn soa nghỉ hết r. Ae do thám thoải mái. Có rss thì cướp	8
urgent requirement of 15m cash n ammo & 7m alcohol & 5m diamond for upgrading castle	8
cướp được nhiều ko	8
Còn. 15 nghìn nữa	8
emmm what are you doing HuyVip with our foundss	8
i need 100 million alcohol	8
i take like 20 mil rss or more these 2 days	8
anyone got spare liquor lol	8
Товарищ, мне нужны золотые слитки	8
1 tiếng đc 1k2 đến 1k5 tuỳ	8
gua cari rss yang kaya😥	8
b cho ít quân vô lấy mỏ	8
4m8 tiền với 4m8 thuốc	8
how much oil do you have? we are 5k difference	8
Cần doi Đan lấy Đồ uong số luong lon day	8
Pp ae	8
Anyone need alcohol	8
nó lập nick cày cung cấp rss	8
100 vàng bác định bao nhiêu lính để đào	8
and i need 5000 each....	8
Sang đây ae yếu thì tập kết lấy rss	8
90m rss needed right pete brother?	8
vài túi đồ có đấy ôg	8
how much	8
I only need resources and I dont need their beauty	8
Can anyone use any rss id rather share with us than get taken by some asshole	8
900k alcohol for villa 23	8
Là có rss	8
g e bay về cái marker sao vàng	8
Famr hết sáng mai trưa mai t gửi cho	8
anyone can donate RSS to me ?	8
Hỏi xem mua gì. K mua hết điểm đấy	8
give me 1 level 5 base	8
Rss đâu	8
cwsh amo and alcohol its all 22  only the diamonds factories its not 22 because they freaking expensive	8
buy vip shop	8
i got a shitload of rss exposed	8
Mà cỡ tầm 5,6m	8
if you need any rss，please let me know	8
i need some resources, can anyone help me?	8
Yeah. I have extra resources if ya need any.	8
Ship hàng đó	8
Still got capo can send	8
Sắm vàng đeo đi là vừa	8
Tốn bao tiền nạp vào đó	8
